"Table 3: Estimated population by sex, five year age group and administrative area, mid-2012",,,,,,,,,,,,,,,,,,,,,,,Persons
,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,Age group,,,,,,,,,,,,,,,,,,,,Area
Area,All Ages,,0 - 4, 5-9, 10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,
Western Isles,"27,560",,"1,297","1,477","1,458","1,568","1,209","1,226","1,367","1,564","2,001","2,061","2,074","1,967","2,115","1,851","1,495","1,188",848,522,272,,Western Isles
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Table 3 (continued),,,,,,,,,,,,,,,,,,,,,,,Males
Males,,,Age group,,,,,,,,,,,,,,,,,,,,Area
Area,All Ages,,0 - 4, 5-9, 10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,
Scotland,"2,577,290",,"150,987","141,136","144,068","163,062","184,746","170,889","163,308","158,147","186,196","199,539","188,246","166,209","157,787","137,350","101,629","78,407","50,914","24,826","9,844",,Scotland
Council areas,,,,,,,,,,,,,,,,,,,,,,,Council areas
Aberdeen City,"111,286",,"6,229","4,892","4,768","6,283","11,689","11,033","9,496","7,743","7,480","7,585","7,241","6,692","6,043","4,567","3,445","2,795","1,923",978,404,,Aberdeen City
Aberdeenshire,"126,727",,"7,845","7,463","7,632","7,982","6,954","6,718","7,332","8,390","9,592","10,169","9,619","8,804","8,546","6,994","4,902","3,708","2,329","1,239",509,,Aberdeenshire
Angus,"56,462",,"2,946","3,129","3,377","3,597","3,230","2,953","2,971","3,076","3,901","4,450","4,221","3,844","4,048","3,583","2,672","2,089","1,428",654,293,,Angus
Argyll & Bute,"42,193",,"2,057","2,196","2,404","2,721","2,302","2,022","1,897","2,031","2,694","3,265","3,230","3,133","3,236","3,169","2,338","1,655","1,109",534,200,,Argyll & Bute
Clackmannanshire,"25,096",,"1,467","1,396","1,482","1,633","1,452","1,437","1,498","1,545","2,012","2,103","1,900","1,661","1,662","1,438",982,723,448,174,83,,Clackmannanshire
Dumfries & Galloway,"73,212",,"3,781","3,942","4,058","4,493","3,825","3,659","3,281","3,553","4,812","5,781","5,587","5,251","5,566","5,107","3,983","3,192","1,967",989,385,,Dumfries & Galloway
Dundee City,"71,109",,"4,185","3,589","3,594","4,786","7,831","6,124","4,626","3,771","4,474","4,790","4,761","4,107","3,833","3,350","2,609","2,150","1,485",748,296,,Dundee City
East Ayrshire,"59,439",,"3,539","3,314","3,397","3,913","3,732","3,481","3,301","3,495","4,445","4,763","4,427","3,946","3,841","3,485","2,519","1,915","1,186",542,198,,East Ayrshire
East Dunbartonshire,"51,273",,"2,695","2,928","3,290","3,577","3,339","2,479","2,165","2,589","3,540","4,149","4,101","3,698","3,333","2,961","2,296","1,986","1,297",611,239,,East Dunbartonshire
East Lothian,"48,330",,"3,025","2,955","2,867","3,200","2,684","2,366","2,381","2,994","3,644","4,035","3,798","3,271","2,926","2,724","2,034","1,552","1,089",581,204,,East Lothian
East Renfrewshire,"43,371",,"2,542","2,810","3,121","3,164","2,755","1,812","1,875","2,364","3,035","3,590","3,514","3,049","2,633","2,249","1,770","1,434",937,515,202,,East Renfrewshire
"Edinburgh, City of","235,172",,"13,657","11,102","10,590","13,162","23,373","22,423","20,204","17,474","16,728","16,641","15,089","13,076","11,801","9,629","7,009","5,942","4,097","2,213",962,,"Edinburgh, City of"
Eilean Siar,"13,606",,715,743,715,778,677,630,665,765,"1,016","1,035","1,066","1,003","1,088",913,725,507,335,175,55,,Eilean Siar
Falkirk,"76,555",,"4,706","4,485","4,357","4,899","4,521","4,407","4,849","5,115","6,155","6,282","5,695","4,707","4,700","4,104","2,929","2,346","1,354",685,259,,Falkirk
Fife,"177,448",,"10,839","9,983","10,069","11,209","11,914","10,004","10,242","10,630","12,947","13,727","13,114","11,563","11,385","10,489","7,432","5,683","3,654","1,838",726,,Fife
Glasgow City,"286,926",,"17,387","14,143","14,318","17,616","28,251","27,717","24,509","19,428","20,653","20,572","18,843","16,057","13,647","11,244","8,536","6,713","4,418","2,066",808,,Glasgow City
Highland,"114,023",,"6,482","6,396","6,768","6,977","6,045","6,270","6,443","6,281","7,780","9,019","8,733","8,240","8,271","7,155","5,114","3,799","2,554","1,228",468,,Highland
Inverclyde,"38,586",,"2,164","2,139","2,165","2,476","2,592","2,344","2,104","2,081","2,631","3,254","3,182","2,624","2,498","2,198","1,600","1,221",789,383,141,,Inverclyde
Midlothian,"40,617",,"2,591","2,478","2,474","2,604","2,489","2,213","2,290","2,448","2,959","3,171","3,008","2,708","2,694","2,319","1,657","1,222",778,364,150,,Midlothian
Moray,"45,615",,"2,614","2,510","2,809","3,119","2,705","2,655","2,501","2,477","3,379","3,585","3,309","3,033","2,972","2,630","2,089","1,595",970,460,203,,Moray
North Ayrshire,"65,420",,"3,737","3,746","3,885","4,518","3,960","3,369","3,399","3,512","4,536","5,046","4,920","4,445","4,530","4,126","3,121","2,250","1,430",654,236,,North Ayrshire
North Lanarkshire,"163,410",,"10,361","10,260","10,056","10,952","10,710","10,179","10,690","10,623","12,515","13,126","11,891","10,194","9,379","7,956","6,011","4,263","2,674","1,155",415,,North Lanarkshire
Orkney Islands,"10,693",,568,546,560,692,595,560,526,547,718,904,834,802,756,717,576,359,250,124,59,,Orkney Islands
Perth & Kinross,"72,027",,"3,783","3,700","4,301","4,570","4,120","4,003","3,997","3,794","4,930","5,825","5,342","4,973","4,926","4,490","3,382","2,724","1,868",927,372,,Perth & Kinross
Renfrewshire,"83,787",,"4,859","4,638","4,783","5,447","5,608","5,362","5,014","4,852","6,068","6,799","6,642","5,498","5,041","4,490","3,391","2,555","1,682",739,319,,Renfrewshire
Scottish Borders,"55,183",,"2,895","3,038","3,086","3,329","2,625","2,409","2,476","2,856","4,063","4,554","4,364","4,032","4,178","3,870","2,798","2,100","1,495",732,283,,Scottish Borders
Shetland Islands,"11,770",,741,716,702,753,649,663,687,775,806,949,862,781,825,681,478,340,211,107,44,,Shetland Islands
South Ayrshire,"53,815",,"2,781","2,778","3,091","3,260","3,063","2,672","2,668","2,811","3,616","4,050","4,196","3,819","3,926","3,741","2,745","2,208","1,364",745,281,,South Ayrshire
South Lanarkshire,"151,149",,"8,893","8,512","8,830","9,652","9,144","8,445","9,137","9,505","11,790","12,163","11,828","10,428","9,327","8,170","5,985","4,626","2,856","1,340",518,,South Lanarkshire
Stirling,"43,709",,"2,250","2,527","2,782","3,119","3,771","2,429","2,141","2,346","3,139","3,447","3,178","2,765","2,683","2,398","1,829","1,412",894,423,176,,Stirling
West Dunbartonshire,"43,051",,"2,749","2,473","2,390","2,865","2,900","2,800","2,512","2,418","3,054","3,548","3,358","2,947","2,633","2,241","1,616","1,238",807,349,153,,West Dunbartonshire
West Lothian,"86,230",,"5,904","5,609","5,347","5,716","5,241","5,251","5,431","5,858","7,084","7,162","6,393","5,058","4,860","4,162","3,056","2,105","1,236",554,203,,West Lothian
,,,,,,,,,,,,,,,,,,,,,,,
NHS Board areas1,,,,,,,,,,,,,,,,,,,,,,,NHS Board areas
Ayrshire & Arran,"178,674",,"10,057","9,838","10,373","11,691","10,755","9,522","9,368","9,818","12,597","13,859","13,543","12,210","12,297","11,352","8,385","6,373","3,980","1,941",715,,Ayrshire & Arran
Borders,"55,183",,"2,895","3,038","3,086","3,329","2,625","2,409","2,476","2,856","4,063","4,554","4,364","4,032","4,178","3,870","2,798","2,100","1,495",732,283,,Borders
Dumfries & Galloway,"73,212",,"3,781","3,942","4,058","4,493","3,825","3,659","3,281","3,553","4,812","5,781","5,587","5,251","5,566","5,107","3,983","3,192","1,967",989,385,,Dumfries & Galloway
Fife,"177,448",,"10,839","9,983","10,069","11,209","11,914","10,004","10,242","10,630","12,947","13,727","13,114","11,563","11,385","10,489","7,432","5,683","3,654","1,838",726,,Fife
Forth Valley,"145,360",,"8,423","8,408","8,621","9,651","9,744","8,273","8,488","9,006","11,306","11,832","10,773","9,133","9,045","7,940","5,740","4,481","2,696","1,282",518,,Forth Valley
